mp-id,Formula,Space Group,Stable,Energy Above Hull (eV/atom),Experimentally Observed,Predicted Tc (K),Predicted Tc Std. Dev. (K),Closest Known Superconductor,Closest Superconductor Distance,Log Probability of Superconductivity
mp-754006,Li4AlCr3O8,"['C2/m', 'Monoclinic']",False,0.0087307117187425,False,21.560565948486328,1.0755895376205444,CrO2,0.625,-0.0009047467028722
mp-1080319,CeSe2,"['C2', 'Monoclinic']",False,2.3853916449999994,False,15.956649780273438,7.783121585845947,Se2,0.6666666666666667,-0.0009065332706086
mp-779008,Li4Mn3O8,"['R32', 'Trigonal']",False,0.0264942993333292,False,34.16789627075195,2.894414186477661,O7,0.9333333333333332,-0.0009500042651779
mp-1003313,Li2Mn3O6,"['C2/m', 'Monoclinic']",False,0.0441862390909024,False,32.1248893737793,1.7027636766433716,O7,0.9090909090909092,-0.0009575072908774
mp-1363,Na2Au,"['I4/mcm', 'Tetragonal']",True,0.0,True,4.57156229019165,2.8395066261291504,Na,0.6666666666666667,-0.0010324153117835
mp-1021328,H4C,"['I-43m', 'Cubic']",True,0.0,False,50.96551513671875,5.891541481018066,H2,0.3999999999999999,-0.0010856455191969
mp-1185885,MgHg5,"['P-6m2', 'Hexagonal']",False,0.0561494549999999,False,68.51325225830078,16.278209686279297,Hg3Mg,0.1666666666666667,-0.0010949337156489
mp-1191226,CeSn3Pd2,"['Pbcm', 'Orthorhombic']",True,0.0,True,2.015967607498169,0.7961776256561279,PdSn2,0.3333333333333332,-0.0011555430246517
mp-13341,YB4Rh,"['Pbam', 'Orthorhombic']",True,0.0,True,3.98022198677063,1.3284202814102173,YB6,0.3809523809523809,-0.0011778092011809
mp-755500,Li4AlCr3O8,"['P-1', 'Triclinic']",False,0.0065773848437427,False,20.805076599121094,1.3032455444335938,CrO2,0.625,-0.0011779281776398
mp-1016120,KMnO2,"['Pnma', 'Orthorhombic']",False,0.0573122397916678,False,18.21260452270508,0.8231248259544373,KMnO4,0.3333333333333333,-0.0012012654915452
